Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
726993,,28/07/2021,,,,Ribhoi,Meghalaya,ML,2,Deceased,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726994,,28/07/2021,,,,West Jaintia Hills,Meghalaya,ML,1,Deceased,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726995,,28/07/2021,,,,West Khasi Hills,Meghalaya,ML,1,Deceased,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726996,,28/07/2021,,,,Aizawl,Mizoram,MZ,1,Deceased,,,,,,,,,
726997,,28/07/2021,,,,Aizawl,Mizoram,MZ,487,Hospitalized,,,,,,,,,
726998,,28/07/2021,,,,Champhai,Mizoram,MZ,3,Hospitalized,,,,,,,,,
726999,,28/07/2021,,,,Kolasib,Mizoram,MZ,74,Hospitalized,,,,,,,,,
727000,,28/07/2021,,,,Lawngtlai,Mizoram,MZ,51,Hospitalized,,,,,,,,,
727001,,28/07/2021,,,,Lunglei,Mizoram,MZ,53,Hospitalized,,,,,,,,,
727002,,28/07/2021,,,,Saiha,Mizoram,MZ,4,,,,,,,,,,
727003,,28/07/2021,,,,,,,,,,,,,,,,,
727004,,28/07/2021,,,,,,,,,,,,,,,,,
727005,,28/07/2021,,,,,,,,,,,,,,,,,
727006,,28/07/2021,,,,,,,,,,,,,,,,,
727007,,28/07/2021,,,,,,,,,,,,,,,,,
727008,,28/07/2021,,,,,,,,,,,,,,,,,
727009,,28/07/2021,,,,,,,,,,,,,,,,,
727010,,28/07/2021,,,,,,,,,,,,,,,,,
727011,,28/07/2021,,,,,,,,,,,,,,,,,
727012,,28/07/2021,,,,,,,,,,,,,,,,,
727013,,28/07/2021,,,,,,,,,,,,,,,,,
727014,,28/07/2021,,,,,,,,,,,,,,,,,
727015,,28/07/2021,,,,,,,,,,,,,,,,,
727016,,28/07/2021,,,,,,,,,,,,,,,,,
727017,,28/07/2021,,,,,,,,,,,,,,,,,
727018,,28/07/2021,,,,,,,,,,,,,,,,,
727019,,28/07/2021,,,,,,,,,,,,,,,,,
727020,,28/07/2021,,,,,,,,,,,,,,,,,
727021,,28/07/2021,,,,,,,,,,,,,,,,,
727022,,28/07/2021,,,,,,,,,,,,,,,,,
727023,,28/07/2021,,,,,,,,,,,,,,,,,
727024,,28/07/2021,,,,,,,,,,,,,,,,,
727025,,28/07/2021,,,,,,,,,,,,,,,,,
727026,,28/07/2021,,,,,,,,,,,,,,,,,
727027,,28/07/2021,,,,,,,,,,,,,,,,,
727028,,28/07/2021,,,,,,,,,,,,,,,,,
727029,,28/07/2021,,,,,,,,,,,,,,,,,
727030,,28/07/2021,,,,,,,,,,,,,,,,,
727031,,28/07/2021,,,,,,,,,,,,,,,,,
727032,,28/07/2021,,,,,,,,,,,,,,,,,
727033,,28/07/2021,,,,,,,,,,,,,,,,,
727034,,28/07/2021,,,,,,,,,,,,,,,,,
727035,,28/07/2021,,,,,,,,,,,,,,,,,
727036,,28/07/2021,,,,,,,,,,,,,,,,,
727037,,28/07/2021,,,,,,,,,,,,,,,,,
727038,,28/07/2021,,,,,,,,,,,,,,,,,
727039,,28/07/2021,,,,,,,,,,,,,,,,,
727040,,28/07/2021,,,,,,,,,,,,,,,,,
727041,,28/07/2021,,,,,,,,,,,,,,,,,
727042,,28/07/2021,,,,,,,,,,,,,,,,,
727043,,28/07/2021,,,,,,,,,,,,,,,,,
727044,,28/07/2021,,,,,,,,,,,,,,,,,
727045,,28/07/2021,,,,,,,,,,,,,,,,,
727046,,28/07/2021,,,,,,,,,,,,,,,,,
727047,,28/07/2021,,,,,,,,,,,,,,,,,
727048,,28/07/2021,,,,,,,,,,,,,,,,,
727049,,28/07/2021,,,,,,,,,,,,,,,,,
